0	-nan	-nan	-nan	
0.01	6.55576e-06	0.299801	-3.76427e-06	
0.02	3.19344e-05	0.29818	-1.85318e-05	
0.03	7.52485e-05	0.295128	-4.39917e-05	
0.04	0.000135711	0.290634	-7.99818e-05	
0.05	0.000212455	0.284689	-0.000126391	
0.06	0.00029804	0.277246	-0.000179148	
0.07	0.000486068	0.268234	-0.000402883	
0.08	-3.20563e-05	0.257006	-0.000560213	
0.09	-0.00197004	0.252559	0.000833365	
0.1	-0.00256555	0.255633	0.00116718	
0.11	-0.00223043	0.262172	0.0013057	
0.12	-0.00184955	0.267596	0.00137246	
0.13	-0.00148534	0.271624	0.00143999	
0.14	-0.00113449	0.27426	0.00150841	
0.15	-0.000717812	0.275773	0.00158398	
0.16	3.92872e-05	0.27699	0.00161704	
0.17	0.00143842	0.279076	0.00314959	
0.18	0.00359244	0.281735	0.00556252	
0.19	0.00650264	0.284909	0.0086219	
0.2	0.00961429	0.287212	0.0118563	
0.21	0.0130899	0.289055	0.0151736	
0.22	0.017727	0.29053	0.0181916	
0.23	0.0228429	0.291434	0.0211077	
0.24	0.0283697	0.291698	0.0240399	
0.25	0.0343851	0.291474	0.0270682	
0.26	0.0405061	0.290429	0.0299449	
0.27	0.0463804	0.288029	0.0325699	
0.28	0.0525318	0.284063	0.0348853	
0.29	0.0585977	0.279416	0.0367779	
0.3	0.0646237	0.27387	0.0383889	
0.31	0.0705813	0.267354	0.0397419	
0.32	0.0762447	0.259877	0.0408576	
0.33	0.0814592	0.251603	0.0419308	
0.34	0.0863576	0.243372	0.0428132	
0.35	0.0909999	0.24015	0.0420556	
0.36	0.0953111	0.238823	0.0413491	
0.37	0.0993865	0.237574	0.0407968	
0.38	0.102932	0.237096	0.0403971	
0.39	0.1062	0.237352	0.0404041	
0.4	0.109398	0.237776	0.0406329	
0.41	0.112607	0.238322	0.0409598	
0.42	0.115841	0.238998	0.0413973	
0.43	0.119103	0.239776	0.0419319	
0.44	0.122379	0.240657	0.0425538	
0.45	0.125707	0.241367	0.043254	
0.46	0.12928	0.24189	0.0438741	
0.47	0.132996	0.242259	0.0445148	
