0	-nan	-nan	-nan	
0.01	0.0021834	0.00108337	2.42775e-05	
0.02	0.0043368	0.0021541	0.000120372	
0.03	0.00642569	0.00320126	0.000285009	
0.04	0.00841814	0.00421478	0.000515266	
0.05	0.0102845	0.00518501	0.000808014	
0.06	0.0118846	0.00604056	0.00113528	
0.07	0.00690955	0.00314917	0.00084865	
0.08	-0.026524	-0.018803	-0.00712413	
0.09	-0.0254503	-0.0441285	-0.0142346	
0.1	-0.0214507	-0.0569232	-0.0142598	
0.11	-0.0217843	-0.0603001	-0.0105695	
0.12	-0.0230375	-0.0626072	-0.00651355	
0.13	-0.0243673	-0.0643716	-0.00245428	
0.14	-0.0257558	-0.0656364	0.0016094	
0.15	-0.0254313	-0.0655166	0.00560723	
0.16	-0.0250697	-0.0613436	0.00986176	
0.17	-0.0286109	-0.0532901	0.00897819	
0.18	-0.0310337	-0.0431917	0.0180189	
0.19	-0.0349976	-0.0303047	0.024045	
0.2	-0.0407763	-0.0173336	0.0257092	
0.21	-0.0473405	-0.00439346	0.0231692	
0.22	-0.0521676	0.00194984	0.0209381	
0.23	-0.0573809	0.0069648	0.015569	
0.24	-0.0632214	0.011126	0.00784613	
0.25	-0.0698266	0.0145905	-0.00140274	
0.26	-0.0735909	0.0167887	-0.0110787	
0.27	-0.0691154	0.0172294	-0.0210782	
0.28	-0.0761742	0.00887661	-0.0319422	
0.29	-0.0771668	-0.00205333	-0.0417384	
0.3	-0.0757776	-0.0149673	-0.0506383	
0.31	-0.0723202	-0.0298572	-0.0586822	
0.32	-0.0660377	-0.0474237	-0.0659731	
0.33	-0.0561263	-0.0680817	-0.0725969	
0.34	-0.0460104	-0.0887805	-0.0785448	
0.35	-0.048169	-0.096098	-0.0801952	
0.36	-0.0527943	-0.0971051	-0.0813136	
0.37	-0.0568304	-0.095804	-0.0828459	
0.38	-0.0577023	-0.0940386	-0.0856964	
0.39	-0.0575531	-0.091624	-0.0907636	
0.4	-0.0570498	-0.0885378	-0.0969878	
0.41	-0.0558692	-0.0845064	-0.103573	
0.42	-0.0540561	-0.0796749	-0.110532	
0.43	-0.0517663	-0.0743022	-0.117783	
0.44	-0.0490414	-0.0684671	-0.125251	
0.45	-0.0474725	-0.0642009	-0.133491	
0.46	-0.0461712	-0.0607849	-0.141469	
0.47	-0.0453692	-0.0582328	-0.149646	
0.48	-0.0443793	-0.0556471	-0.157661	
0.49	-0.0434035	-0.0532017	-0.165642	
0.5	-0.0425032	-0.0509984	-0.17356	
0.51	-0.0418183	-0.0492005	-0.181356	
0.52	-0.0427331	-0.0471848	-0.188751	
0.53	-0.0421013	-0.0465634	-0.196357	
0.54	-0.0421993	-0.0465015	-0.203646	
0.55	-0.0429441	-0.0470032	-0.210709	
0.56	-0.0443291	-0.0481753	-0.21753	
0.57	-0.0463917	-0.0501015	-0.224089	
0.58	-0.0491862	-0.0528544	-0.230353	
0.59	-0.0527674	-0.0564955	-0.23629	
0.6	-0.0572058	-0.0610747	-0.241893	
0.61	-0.0558466	-0.0617461	-0.242686	
0.62	-0.0533213	-0.0588363	-0.241998	
0.63	-0.0501467	-0.0559741	-0.243041	
0.64	-0.0475933	-0.0539104	-0.244976	
0.65	-0.0453929	-0.0517189	-0.246821	
0.66	-0.0423995	-0.0487175	-0.247376	
0.67	-0.0393171	-0.0459293	-0.247419	
0.68	-0.0363709	-0.0433809	-0.247235	
0.69	-0.0317502	-0.0392002	-0.246173	
0.7	-0.0274495	-0.0349732	-0.245401	
0.71	-0.0236372	-0.031157	-0.244671	
0.72	-0.0202331	-0.0277759	-0.243403	
0.73	-0.0178412	-0.0253742	-0.241815	
0.74	-0.014652	-0.0224217	-0.239229	
0.75	-0.0118389	-0.0195712	-0.236255	
0.76	-0.0127123	-0.0179676	-0.232271	
0.77	-0.0154156	-0.0166234	-0.231343	
0.78	-0.017345	-0.0155204	-0.233743	
0.79	-0.0188898	-0.0137541	-0.23655	
0.8	-0.0200012	-0.0132703	-0.238011	
0.81	-0.0215659	-0.012845	-0.237923	
0.82	-0.0226974	-0.0125241	-0.237157	
0.83	-0.0236487	-0.0123019	-0.237083	
0.839999	-0.0251865	-0.0129695	-0.236644	
0.849999	-0.0279837	-0.0161913	-0.235902	
0.859999	-0.031866	-0.0218978	-0.235039	
0.869999	-0.0291745	-0.0219111	-0.232122	
0.879999	-0.0286975	-0.0187259	-0.228259	
0.889999	-0.0293356	-0.0153473	-0.223745	
0.899999	-0.0292567	-0.0146188	-0.218469	
0.909999	-0.0293624	-0.0143558	-0.212313	
0.919999	-0.0296564	-0.0142363	-0.205255	
0.929999	-0.0303816	-0.0144194	-0.197311	
0.939999	-0.0324397	-0.0171085	-0.189327	
0.949999	-0.0356587	-0.0225638	-0.18138	
0.959999	-0.0347931	-0.0216968	-0.173716	
0.969999	-0.0345098	-0.017727	-0.165124	
0.979999	-0.0361463	-0.0128702	-0.155931	
0.989999	-0.0387226	-0.00804462	-0.145589	
0.999999	-0.0402696	-0.00626888	-0.133916	
1.01	-0.042188	-0.00384873	-0.122696	
1.02	-0.0444408	-0.000629934	-0.111812	
1.03	-0.046846	0.00280369	-0.101126	
1.04	-0.0497662	0.00705167	-0.0903531	
1.05	-0.052967	0.0114339	-0.0793013	
1.06	-0.0552496	0.0144434	-0.0681602	
1.07	-0.0588773	0.0169244	-0.0570769	
1.08	-0.0614604	0.0170948	-0.045647	
1.09	-0.0611879	0.0181843	-0.0341139	
1.1	-0.061812	0.0193193	-0.0228528	
1.11	-0.0625738	0.0200801	-0.011849	
1.12	-0.064039	0.0214133	-0.00132913	
1.13	-0.0658895	0.0230821	0.00868887	
1.14	-0.0680021	0.0250412	0.0179654	
1.15	-0.0701956	0.0270398	0.0266207	
1.16	-0.0723693	0.028964	0.0346585	
1.17	-0.0743693	0.0306399	0.0423217	
1.18	-0.0761047	0.0319691	0.0496433	
1.19	-0.0774891	0.0328697	0.0565903	
1.2	-0.0784442	0.0332566	0.0631416	
1.21	-0.0788959	0.0330735	0.0692581	
1.22	-0.0787621	0.0322524	0.0749212	
1.23	-0.0780133	0.0306291	0.08003	
1.24	-0.0764991	0.0282358	0.0846279	
1.25	-0.0741557	0.0250528	0.0887354	
1.26	-0.0709544	0.0210338	0.0923349	
1.27	-0.0668656	0.0161458	0.095401	
1.28	-0.061772	0.010346	0.0980072	
1.29	-0.0557418	0.00358488	0.100117	
1.3	-0.0486945	-0.00426978	0.1017	
1.31	-0.0406075	-0.01337	0.102662	
1.32	-0.0314163	-0.023668	0.103194	
1.33	-0.0211161	-0.0352276	0.103324	
1.34	-0.00967977	-0.0481219	0.103078	
1.35	-0.000775152	-0.0602757	0.102221	
1.36	-0.00373522	-0.0627408	0.100364	
1.37	-0.00582971	-0.062161	0.097967	
1.38	-0.00802241	-0.0596297	0.0951774	
1.39	-0.00931366	-0.0554364	0.0918858	
1.4	-0.00978046	-0.0492996	0.0879532	
1.41	-0.0107404	-0.0447555	0.0829554	
1.42	-0.0117624	-0.0429727	0.0776065	
1.43	-0.0129271	-0.0413751	0.0720583	
1.44	-0.0144118	-0.040018	0.0665447	
1.45	-0.0162894	-0.038884	0.0609101	
1.46	-0.0184958	-0.0379226	0.0551577	
1.47	-0.0209785	-0.0371116	0.0493612	
1.48	-0.0237214	-0.0364722	0.0435036	
1.49	-0.0267596	-0.0359517	0.0374815	
1.5	-0.030069	-0.0355765	0.0314199	
1.51	-0.033756	-0.0353312	0.0255003	
1.52	-0.0378459	-0.0352439	0.0197738	
1.53	-0.0422405	-0.0353595	0.0135762	
1.54	-0.0467994	-0.0356911	0.00729639	
1.55	-0.0506355	-0.0371771	0.0010035	
1.56	-0.0552181	-0.0367152	-0.00253007	
1.57	-0.0552907	-0.0355989	-0.0105913	
1.58	-0.054139	-0.0342643	-0.0206473	
1.59	-0.0530666	-0.032991	-0.0309647	
1.6	-0.052091	-0.0317858	-0.0413966	
1.61	-0.0511913	-0.0306715	-0.0519615	
1.62	-0.0503942	-0.0296647	-0.062638	
1.63	-0.0496841	-0.0287568	-0.0735276	
1.64	-0.0480832	-0.0276697	-0.0841746	
1.65	-0.045811	-0.0261252	-0.0941066	
1.66	-0.0450919	-0.02466	-0.10553	
1.67	-0.0436773	-0.0240087	-0.11852	
1.68	-0.0427805	-0.0237171	-0.132261	
1.69	-0.0412814	-0.0223204	-0.144918	
1.7	-0.0400067	-0.0210141	-0.156847	
1.71	-0.0384177	-0.0191931	-0.168331	
1.72	-0.0370314	-0.0176752	-0.17975	
1.73	-0.0354132	-0.0158012	-0.19077	
1.74	-0.0336345	-0.013676	-0.201336	
1.75	-0.0318144	-0.011496	-0.211492	
1.76	-0.0300569	-0.00940408	-0.221235	
1.77	-0.0284506	-0.00751805	-0.230557	
1.78	-0.0271099	-0.0059804	-0.239463	
1.79	-0.0261536	-0.00492584	-0.247963	
1.8	-0.0256673	-0.00441947	-0.255996	
1.81	-0.0257851	-0.00461816	-0.263623	
1.82	-0.0266334	-0.00564439	-0.270861	
1.83	-0.0282728	-0.00750979	-0.277615	
1.84	-0.0308072	-0.0103199	-0.283921	
1.85	-0.0342092	-0.0140758	-0.28976	
1.86	-0.038543	-0.0187934	-0.295167	
1.87	-0.0438674	-0.0245316	-0.300166	
1.88	-0.050237	-0.0313424	-0.304765	
1.89	-0.0555833	-0.0380449	-0.308614	
1.9	-0.0510963	-0.0387206	-0.30912	
1.91	-0.0459095	-0.0369881	-0.309107	
1.92	-0.0437237	-0.032553	-0.308153	
1.93	-0.0417106	-0.0260714	-0.306111	
1.94	-0.0385414	-0.0203329	-0.30438	
1.95	-0.0356098	-0.0171713	-0.303798	
1.96	-0.033578	-0.0151711	-0.303061	
1.97	-0.0313244	-0.0129194	-0.301181	
1.98	-0.0293274	-0.0107926	-0.298492	
1.99	-0.0275279	-0.00886641	-0.295242	
2	-0.0259912	-0.00720171	-0.291426	
2.01	-0.0247098	-0.00586544	-0.287026	
2.02	-0.0237071	-0.00472649	-0.282039	
2.03	-0.0228541	-0.00385094	-0.276536	
